sentence_number,sentence,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6
1,"Chief Justice Roberts, President Carter, President Clinton, President Bush, President Obama, fellow Americans, and people of the world: thank you.",0,1,0,1,1,1
2,"We, the citizens of America, are now joined in a great national effort to rebuild our country and to restore its promise for all of our people.",1,-1,1,1,1,1
3,"Together, we will determine the course of America and the world for years to come.",1,0,1,1,1,1
4,We will face challenges.,-1,1,-1,0,-1,0
5,We will confront hardships.,1,1,-1,0,-1,0
6,But we will get the job done.,1,1,1,1,1,0
7,"Every four years, we gather on these steps to carry out the orderly and peaceful transfer of power, and we are grateful to President Obama and First Lady Michelle Obama for their gracious aid throughout this transition.",1,0,0,1,1,0
8,They have been magnificent.,1,0,0,1,1,1
9,"Today’s ceremony, however, has very special meaning.",0,1,0,0,0,0
10,"Because today we are not merely transferring power from one Administration to another, or from one party to another – but we are transferring power from Washington, D.C. and giving it back to you, the American People.",0,1,1,1,0,0
11,"For too long, a small group in our nation’s Capital has reaped the rewards of government while the people have borne the cost.",-1,1,-1,-1,-1,1
12,Washington flourished – but the people did not share in its wealth.,-1,1,-1,-1,-1,-1
13,"Politicians prospered – but the jobs left, and the factories closed.",-1,1,-1,-1,-1,-1
14,"The establishment protected itself, but not the citizens of our country.",-1,1,-1,-1,-1,-1
15,"Their victories have not been your victories; their triumphs have not been your triumphs; and while they celebrated in our nation’s Capital, there was little to celebrate for struggling families all across our land.",-1,0,-1,-1,-1,-1
16,"That all changes – starting right here, and right now, because this moment is your moment: it belongs to you.",1,-1,1,1,0,1
17,It belongs to everyone gathered here today and everyone watching all across America.,0,1,1,1,0,0
18,This is your day.,1,0,1,1,0,0
19,This is your celebration.,1,0,1,1,1,1
20,"And this, the United States of America, is your country.",0,0,1,1,0,0
21,"What truly matters is not which party controls our government, but whether our government is controlled by the people.",0,0,0,0,0,1
22,"January 20th 2017, will be remembered as the day the people became the rulers of this nation again.",0,0,1,1,0,1
23,The forgotten men and women of our country will be forgotten no longer.,1,-1,1,1,0,1
24,Everyone is listening to you now.,1,-1,1,1,0,0
25,You came by the tens of millions to become part of a historic movement the likes of which the world has never seen before.,1,-1,1,1,0,1
26,At the center of this movement is a crucial conviction: that a nation exists to serve its citizens.,0,0,1,1,0,1
27,"Americans want great schools for their children, safe neighborhoods for their families, and good jobs for themselves.",1,-1,0,1,0,1
28,These are the just and reasonable demands of a righteous public.,0,0,1,1,0,0
29,"But for too many of our citizens, a different reality exists: Mothers and children trapped in poverty in our inner cities; rusted-out factories scattered like tombstones across the landscape of our nation; an education system, flush with cash, but which leaves our young and beautiful students deprived of knowledge; and the crime and gangs and drugs that have stolen too many lives and robbed our country of so much unrealized potential.",-1,0,-1,-1,-1,-1
30,This American carnage stops right here and stops right now.,1,0,1,1,1,1
31,We are one nation – and their pain is our pain. ,-1,0,1,1,0,0
32,Their dreams are our dreams; and their success will be our success.,1,0,1,1,1,0
33,"We share one heart, one home, and one glorious destiny.",1,0,1,1,1,0
34,The oath of office I take today is an oath of allegiance to all Americans.,0,0,1,1,0,1
35,"For many decades, we’ve enriched foreign industry at the expense of American industry;",-1,0,-1,1,-1,-1
36,Subsidized the armies of other countries while allowing for the very sad depletion of our military;,-1,0,-1,-1,-1,-1
37,We’ve defended other nation’s borders while refusing to defend our own;,-1,0,-1,-1,-1,-1
38,And spent trillions of dollars overseas while America’s infrastructure has fallen into disrepair and decay.,-1,0,-1,-1,-1,-1
39,"We’ve made other countries rich while the wealth, strength, and confidence of our country has disappeared over the horizon.",-1,1,-1,-1,-1,-1
40,"One by one, the factories shuttered and left our shores, with not even a thought about the millions upon millions of American workers left behind.",-1,1,-1,-1,-1,-1
41,The wealth of our middle class has been ripped from their homes and then redistributed across the entire world.,-1,1,-1,-1,-1,-1
42,But that is the past.,0,1,0,1,0,0
43,And now we are looking only to the future.,1,1,1,1,0,0
44,"We assembled here today are issuing a new decree to be heard in every city, in every foreign capital, and in every hall of power.",1,1,1,1,0,0
45,"From this day forward, a new vision will govern our land.",1,0,1,1,1,0
46,"From this moment on, it’s going to be America First.",1,0,1,1,1,0
